#
# This file contains a mapping from HTML entity names (the names you
# use in "&foo;" to quote special characters) to PostScript glyph names,
# and is used to map to/from the character set you are using.
#
# This file only contains those entity names that differ from PostScript
# names.
# 

# HTML	PostScript
AElig	AE
Acirc	Acircumflex
Auml	Adieresis
Ccirc	Ccircumflex
Dagger	daggerdbl
Dstrok	Dcroat
ETH	Eth
Ecirc	Ecircumflex
Euml	Edieresis
Gcirc	Gcircumflex
Hcirc	Hcircumflex
Icirc	Icircumflex
Iuml	Idieresis
Jcirc	Jcircumflex
OElig	OE
Ocirc	Ocircumflex
Ouml	Odieresis
Prime	second
Scirc	Scircumflex
THORN	Thorn
Ucirc	Ucircumflex
Uuml	Udieresis
Wcirc	Wcircumflex
Wuml	Wdieresis
Ycirc	Ycircumflex
Yuml	Ydieresis
acirc	acircumflex
aelig	ae
alefsym	aleph
amp	ampersand
and	logicaland
ang	angle
asymp	approxequal
auml	adieresis
bdquo	quotedblright
brkbar	brokenbar
brvbar	brokenbar
bull	bullet
cap	intersection
ccirc	ccircumflex
circ	circumflex
clubs	club
cong	congruent
copy	copyright
crarr	carriagereturn
cup	union
curren	currency
dArr	arrowdbldown
darr	arrowdown
deg	degree
diams	diamond
die	dieresis
dstrok	dcroat
ecirc	ecircumflex
empty	emptyset
emsp	uni2003
ensp	uni2002
equiv	equivalence
euml	edieresis
exist	existential
forall	universal
frac12	onehalf
frac14	onequarter
frac34	threequarters
frasl	fraction
gcirc	gcircumflex
ge	greaterequal
gt	greater
hArr	arrowdblboth
harr	arrowboth
hcirc	hcircumflex
hearts	heart
hellip	ellipsis
hibar	macron
icirc	icircumflex
iexcl	exclamdown
image	Ifraktur
infin	infinity
int	integral
iquest	questiondown
isin	element
iuml	idieresis
jcirc	jcircumflex
lArr	arrowdblleft
lang	angleleft
laquo	guillemotleft
larr	arrowleft
lceil	uni2308
ldquo	quotedblleft
le	lessequal
lfloor	uni230A
lowast	asteriskmath
loz	lozenge
lrm	afii299
lsaquo	guilsinglleft
lsquo	quoteleft
lt	less
macr	macron
mdash	emdash
micro	mu
middot	periodcentered
nabla	gradient
#nbsp	space
ndash	endash
ne	notequal
ni	suchthat
not	logicalnot
notin	notelement
nsub	notsubset
ocirc	ocircumflex
oelig	oe
oline	uni203E
oplus	circleplus
or	logicalor
ordf	ordfeminine
ordm	ordmasculine
otimes	circlemultiply
ouml	odieresis
para	paragraph
part	partialdiff
permil	perthousand
perp	perpendicular
piv	omega1
plusmn	plusminus
pound	sterling
prime	minute
prod	product
prop	proportional
quot	quotedbl
rArr	arrowdblright
radic	radical
rang	angleright
raquo	guillemotright
rarr	arrowright
rceil	uni2309
real	Rfraktur
reg	registered
rfloor	uni230B
rlm	afii300
rsaquo	guilsinglright
rsquo	quoteright
sbquo	quotesinglbase
scirc	scircumflex
sdot	dotmath
sect	section
shy	hyphen
sigmaf	sigma1
sim	similar
spades	spade
sub	propersubset
sube	reflexsubset
sum	summation
sup	propersuperset
sup1	onesuperior
sup2	twosuperior
sup3	threesuperior
supe	reflexsuperset
szlig	germandbls
there4	therefore
thetasym theta
thinsp	uni2009
trade	trademark
uArr	arrowdblup
uarr	arrowup
ucirc	ucircumflex
upsih	Upsilon1
uuml	udieresis
wcirc	wcircumflex
weierp	weierstrass
wuml	wdieresis
ycirc	ycircumflex
yuml	ydieresis
zwj	afii301
zwnj	afii61664
